,theo_energy_vol,max_electronegativity,exp_energy_vol,crystal_system_Hexagonal,theoretical_False,atomic_weight_ion,energy_grav,ionic_radius_ion,avg_atomic_number,energy_vol,min_atomic_number,min_covalent_radius,crystal_system_Cubic,min_electronegativity,max_atomic_mass,nelements,max_covalent_radius,is_metal_False,stability_discharge,avg_atomic_mass,formula_pretty
3300,-0.020186103935397,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.1242939796109347,-0.0131492908306707,-0.665334935312622,-0.020186103935397,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.6979746223395503,0.6657926694244705,-0.6104173770928731,1,-0.3562457784553368,-0.6241661219294274,Li2V5Cr2O12
3110,-0.3890102551848695,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.5199596841146304,-0.0131492908306707,-0.3678410466221299,-0.3890102551848695,0.4417349988383212,0.3820071422726114,0,1.1163196278616012,-0.6108381110419495,-1.9781908996444653,-0.4170750460042923,1,-0.3544037782994034,-0.413951668765164,Fe23O32
502,-0.7066685325911285,-4.231862802003944,-0.0,0,0,1.4429944633676537,-0.9909243304751252,-0.6780932454973677,-1.0024946758285131,-0.7066685325911285,-1.983407743788,-3.2629105133917915,1,-0.1894533421112337,-0.7915715669669681,-0.6561991151099974,-0.6877543095283054,0,-0.0925443660288276,-0.9602339612237488,Mg6TiH16
316,0.4354075413887561,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.7663664164992239,-0.0131492908306707,0.2866455084969527,0.4354075413887561,0.4417349988383212,0.3820071422726114,0,0.5387661988351551,0.2293893000574388,0.6657926694244705,0.0856150148260176,0,-0.7506093904116649,0.202670268806589,NbFe7(PO4)12
2510,0.4873011453654249,-0.0827529746914719,0.0,0,0,-0.7034641555777603,1.247435759580951,-0.0131492908306707,-1.1413251572174097,0.4873011453654249,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.6312839090986572,0.6657926694244705,-0.3010696473511439,1,-0.5213163650460635,-1.0505840933029849,LiMn2(CO3)4
2801,-0.516000273263759,-0.0827529746914719,-0.0,0,0,1.280440150771868,-0.5957884213989186,4.308986414502856,-0.8438312685269173,-0.516000273263759,-0.5976118908586737,0.3820071422726114,0,-1.1436720509375362,-0.6312839090986572,1.9877844539589384,0.8589843391803406,1,-0.2668036016542759,-0.8195643462060404,Na2MnBSO7
1267,-0.0,-2.960361403311412,-0.8825114376110537,0,1,1.4429944633676537,-0.9648402983946314,-0.6780932454973677,0.3858101380604495,-0.8825114376110537,3.2133267046969745,1.63494758640725,1,1.1163196278616012,-0.546165773182414,-0.6561991151099974,-0.4170750460042923,0,1.847485325549978,0.1997262672183953,Fe(NiS2)2
145,0.0523765277540362,-0.0827529746914719,0.0,0,0,1.4429944633676537,-0.0340470390859689,-0.6780932454973677,-0.6851678612253214,0.0523765277540362,0.4417349988383212,0.3820071422726114,0,-0.1894533421112337,-0.721878225659873,-0.6561991151099974,-0.9971020392700346,1,-0.0439845832485428,-0.6748293672011462,MgV2O6
1098,0.5158342444275961,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.9798016623506408,-0.0131492908306707,-0.4868386020983267,0.5158342444275961,0.4417349988383212,0.3820071422726114,0,0.4132111055685362,-0.6312839090986572,-0.6561991151099974,-0.3010696473511439,1,-0.7471513162113693,-0.506335487295334,MnPO4
815,-0.0,-0.0827529746914719,-0.6251287045988474,0,1,1.4429944633676537,-0.7820322796336818,-0.6780932454973677,-0.665334935312622,-0.6251287045988474,0.4417349988383212,0.3820071422726114,0,-1.1436720509375362,-0.721878225659873,0.6657926694244705,0.8589843391803406,1,0.5027319923046906,-0.670805503274234,Na3VS3O
